id,state_id,census_id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Total,Estimate!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Estimate!!Married-couple families!!Total,Estimate!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Estimate!!Nonfamily households!!Total,Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars)
28094,49,1600000US5432932,"Granville town, West Virginia",805,28080,39658,407,46172,51586,321,55050,0,398,19625,26343
28095,49,1600000US5433100,"Great Cacapon CDP, West Virginia",179,32946,50003,154,33571,51434,125,48854,0,25,0,41184
28096,49,1600000US5433124,"Green Bank CDP, West Virginia",72,0,47639,49,65208,62316,43,0,0,23,16250,16374
28097,49,1600000US5433436,"Green Spring CDP, West Virginia",91,0,39136,32,0,0,15,0,0,59,20078,23942
28098,49,1600000US5433580,"Greenview CDP, West Virginia",149,61250,52842,122,61600,49789,61,0,0,27,0,56867
28099,49,1600000US5434180,"Gypsy CDP, West Virginia",79,0,43639,36,0,0,0,0,0,43,14234,16472
28100,49,1600000US5434492,"Hambleton town, West Virginia",85,35179,42381,52,46500,52975,43,50625,0,33,16094,25691
28101,49,1600000US5434516,"Hamlin town, West Virginia",569,32019,40175,358,37955,47692,216,40750,0,211,16875,26694
28102,49,1600000US5434756,"Handley town, West Virginia",62,33269,44466,45,0,52171,21,59750,0,17,23250,24071
28103,49,1600000US5435092,"Harman town, West Virginia",68,23571,27131,17,27813,42853,9,0,0,51,22946,21890
28104,49,1600000US5435284,"Harpers Ferry town, West Virginia",99,59844,93005,57,111250,117196,53,111250,0,42,35000,60174
28105,49,1600000US5435428,"Harrisville town, West Virginia",958,34745,54958,578,45667,61938,474,54615,0,380,23607,43846
28106,49,1600000US5435500,"Hartford City town, West Virginia",283,44659,52818,211,36406,52892,152,46000,0,72,52500,47094
28107,49,1600000US5435596,"Harts CDP, West Virginia",151,28281,31375,118,19750,29656,58,37500,0,33,0,0
28108,49,1600000US5436220,"Hedgesville town, West Virginia",88,73750,75161,66,73750,77117,48,93333,0,22,55000,64286
28109,49,1600000US5436292,"Helen CDP, West Virginia",14,0,0,0,0,0,0,0,0,14,0,0
28110,49,1600000US5436340,"Helvetia CDP, West Virginia",41,71058,75961,26,0,0,26,0,0,15,0,0
28111,49,1600000US5436436,"Henderson town, West Virginia",114,22500,31733,79,22292,31615,46,30833,0,35,0,32000
28112,49,1600000US5436460,"Hendricks town, West Virginia",118,42955,54999,93,44886,64352,72,50625,0,25,15625,20208
28113,49,1600000US5436484,"Henlawson CDP, West Virginia",47,0,0,47,0,0,22,0,0,0,0,0
28114,49,1600000US5436628,"Hepzibah CDP, West Virginia",231,71771,64334,185,82569,71056,132,83611,0,46,23810,26815
28115,49,1600000US5437036,"Hico CDP, West Virginia",168,41250,48229,85,0,62401,72,0,0,83,0,33714
28116,49,1600000US5437372,"Hillsboro town, West Virginia",71,25625,33463,34,33333,36721,22,45833,0,37,19250,26695
28117,49,1600000US5437444,"Hilltop CDP, West Virginia",233,0,65411,180,95430,77635,141,95954,0,53,0,0
28118,49,1600000US5437636,"Hinton city, West Virginia",1299,31430,43386,782,38432,49238,464,64630,0,517,21146,29364
28119,49,1600000US5437948,"Holden CDP, West Virginia",261,0,63595,238,49219,68364,137,72031,0,23,0,0
28120,49,1600000US5438260,"Hometown CDP, West Virginia",246,0,64477,134,0,97713,121,0,0,112,0,24713
28121,49,1600000US5438476,"Hooverson Heights CDP, West Virginia",1047,58281,59355,764,64386,68979,582,69167,0,283,22279,32925
28122,49,1600000US5439340,"Hundred town, West Virginia",137,22344,32888,63,46250,52989,54,37115,0,74,13036,15774
28123,49,1600000US5439412,"Huntersville CDP, West Virginia",60,22167,37173,32,0,52047,32,0,0,28,0,20171
28124,49,1600000US5439460,"Huntington city, West Virginia",19268,31162,49702,9149,48574,68499,5959,64968,86273,10119,20104,31479
28125,49,1600000US5439532,"Hurricane city, West Virginia",2438,55833,79646,1614,68649,97348,1137,103617,0,824,30533,40547
28126,49,1600000US5439628,"Huttonsville town, West Virginia",73,36250,40697,44,53750,51816,35,67614,0,29,20750,20455
28127,49,1600000US5439652,"Iaeger town, West Virginia",109,27813,36371,85,33125,41799,68,39688,0,24,10833,17146
28128,49,1600000US5439676,"Idamay CDP, West Virginia",270,0,73760,185,86164,100183,185,86164,0,85,18750,16251
28129,49,1600000US5440204,"Inwood CDP, West Virginia",1256,62162,67630,907,77574,74568,752,79265,0,349,39698,44608
28130,49,1600000US5440444,"Itmann CDP, West Virginia",115,0,38076,48,81625,73677,48,81625,0,67,0,0
28131,49,1600000US5440636,"Jacksonburg CDP, West Virginia",36,0,39100,6,0,0,6,0,0,30,0,0
28132,49,1600000US5440828,"Jane Lew town, West Virginia",182,30000,40262,119,37188,46976,92,36875,0,63,0,22379
28133,49,1600000US5441010,"Jefferson CDP, West Virginia",177,19201,21560,136,0,11693,25,0,0,41,43472,35971
