key_id,state_id,id,Geographic Area Name,HouseholdsTotal,HouseholdsMedian income (dollars),HouseholdsMean income (dollars),FamiliesTotal,FamiliesMedian income (dollars),FamiliesMean income (dollars),Married-couple familiesTotal,Married-couple familiesMedian income (dollars),Married-couple familiesMean income (dollars),Nonfamily householdsTotal,Nonfamily householdsMedian income (dollars),Nonfamily householdsMean income (dollars)
61,5,0500000US06053,"Monterey County, California",128227,77514,102106,92883,81037,105836,66556,96160,122662,35344,56974,81482
62,5,0500000US06055,"Napa County, California",48107,92769,130499,31603,107419,145490,0,124879,0,16504,60967,95251
63,5,0500000US06057,"Nevada County, California",39365,68818,97744,25565,88540,112469,0,95426,0,13800,36657,65153
64,5,0500000US06059,"Orange County, California",1044280,95934,127176,747163,107171,140730,570578,123366,157906,297117,61593,84619
65,5,0500000US06061,"Placer County, California",147236,97723,124843,105590,118132,144230,87697,126889,0,41646,53554,69809
66,5,0500000US06065,"Riverside County, California",734948,73260,95564,542505,81921,104527,395213,95870,118706,192443,41120,62505
67,5,0500000US06067,"Sacramento County, California",556752,72017,93318,361011,82121,105200,251350,101223,123423,195741,49489,65515
68,5,0500000US06071,"San Bernardino County, California",644758,67903,86334,487955,74969,91953,336570,88017,106766,156803,40091,59374
69,5,0500000US06073,"San Diego County, California",1132434,83985,112786,763224,96164,126563,574639,113524,144292,369210,55901,77408
70,5,0500000US06075,"San Francisco County, California",365851,123859,173858,167865,140707,195102,127692,164939,0,197986,105235,151619
71,5,0500000US06077,"San Joaquin County, California",230241,68997,92484,171826,76424,100767,122991,91643,115965,58415,41206,55556
72,5,0500000US06079,"San Luis Obispo County, California",106512,77265,99083,67359,98277,117296,54321,107514,0,39153,41847,62776
73,5,0500000US06081,"San Mateo County, California",265003,138500,193572,180884,158898,220970,141950,185680,250866,84119,80703,123249
74,5,0500000US06083,"Santa Barbara County, California",146466,75653,112619,92089,90020,128375,65797,107503,149737,54377,48596,78268
75,5,0500000US06085,"Santa Clara County, California",643637,133076,180645,452203,151620,203414,354357,177298,230557,191434,83190,116961
76,5,0500000US06087,"Santa Cruz County, California",97710,89269,126138,61206,107298,143577,45986,124096,0,36504,50591,87552
77,5,0500000US06089,"Shasta County, California",72714,63091,81663,45286,80765,99660,34292,90339,0,27428,34208,48744
78,5,0500000US06095,"Solano County, California",150393,86652,105465,105464,97754,117057,75089,111477,0,44929,54826,68789
79,5,0500000US06097,"Sonoma County, California",190689,87828,117426,122317,101449,134368,90585,117097,0,68372,58408,79234
80,5,0500000US06099,"Stanislaus County, California",174698,63037,79840,129341,71339,87518,88210,85855,101231,45357,40473,51936
81,5,0500000US06101,"Sutter County, California",33039,62777,89212,23328,73964,98914,0,99176,0,9711,40276,61796
82,5,0500000US06103,"Tehama County, California",25310,53475,70306,17392,71428,84003,0,86282,0,7918,26347,31941
83,5,0500000US06107,"Tulare County, California",144109,57692,74820,114157,60190,77798,78457,69811,90943,29952,33703,50962
84,5,0500000US06111,"Ventura County, California",268524,92236,121196,193638,103818,134464,146309,117417,150196,74886,60967,78521
85,5,0500000US06113,"Yolo County, California",76075,71417,107375,47858,95890,128396,35682,110466,0,28217,45837,65103
86,5,0500000US06115,"Yuba County, California",26827,58765,74158,18947,65843,81513,0,75579,0,7880,41107,47559
87,6,0500000US08001,"Adams County, Colorado",171977,75804,91713,119506,85129,101750,89008,100453,115757,52471,50622,62026
88,6,0500000US08005,"Arapahoe County, Colorado",246302,82710,110227,160274,101925,128743,121578,115229,144099,86028,52950,71426
89,6,0500000US08013,"Boulder County, Colorado",131854,88535,125894,74958,112791,158078,60790,123944,0,56896,57077,80648
90,6,0500000US08014,"Broomfield County, Colorado",28062,111400,144139,18753,136125,156286,0,146386,0,9309,73938,112938
91,6,0500000US08031,"Denver County, Colorado",318445,75646,106715,150538,98247,135179,108725,122104,161134,167907,59201,78164
92,6,0500000US08035,"Douglas County, Colorado",127476,122867,151762,98624,137073,169464,85012,145724,0,28852,62494,84826
93,6,0500000US08041,"El Paso County, Colorado",265798,72830,93351,182032,86411,107829,142968,97131,120304,83766,43252,56665
94,6,0500000US08059,"Jefferson County, Colorado",236496,90040,115741,154711,111123,135150,120699,125302,150198,81785,55672,73902
95,6,0500000US08069,"Larimer County, Colorado",146638,75186,98731,89168,100135,123931,74079,112640,0,57470,44910,56392
96,6,0500000US08077,"Mesa County, Colorado",63644,60500,78226,42122,75143,92966,0,84754,0,21522,36326,45932
97,6,0500000US08101,"Pueblo County, Colorado",66111,51276,66317,42573,61720,76698,29322,79606,91644,23538,32443,43638
98,6,0500000US08123,"Weld County, Colorado",111298,78615,95567,81935,92214,107915,64804,102025,119619,29363,40554,54704
99,7,0500000US09001,"Fairfield County, Connecticut",340557,97053,159703,235576,122271,190461,178664,153491,226130,104981,55221,84005
100,7,0500000US09003,"Hartford County, Connecticut",353234,75381,101930,219085,98558,125773,154549,120787,150163,134149,43299,59495
101,7,0500000US09005,"Litchfield County, Connecticut",73969,81195,112372,49009,101334,133858,0,112159,0,24960,48006,65081
102,7,0500000US09007,"Middlesex County, Connecticut",66884,76518,100657,41794,105242,124544,32332,126477,0,25090,40892,54693
103,7,0500000US09009,"New Haven County, Connecticut",329006,69751,94695,202259,89234,115330,139604,110970,138064,126747,40440,58149
104,7,0500000US09011,"New London County, Connecticut",109752,75633,98102,70104,95350,115915,52627,107875,130703,39648,47158,62220
105,7,0500000US09013,"Tolland County, Connecticut",56749,91028,118561,37620,115453,147801,0,126069,0,19129,45358,59154
106,7,0500000US09015,"Windham County, Connecticut",47015,62106,80332,30464,80815,96503,0,95317,0,16551,34242,46280
107,8,0500000US10001,"Kent County, Delaware",68023,58001,71690,44880,69439,82945,31138,86615,0,23143,36842,44970
108,8,0500000US10003,"New Castle County, Delaware",211592,76328,100948,132203,95536,121467,94703,115691,140376,79389,49852,63051
109,8,0500000US10005,"Sussex County, Delaware",96624,65155,88437,65501,82694,101930,51953,90777,0,31123,37199,55620
110,9,0500000US11001,"District of Columbia, District of Columbia",291570,92266,135369,124978,130291,175610,78331,184848,235522,166592,76529,101740
111,10,0500000US12001,"Alachua County, Florida",103024,49534,73143,52586,80588,102990,38441,98320,0,50438,29053,39382
112,10,0500000US12005,"Bay County, Florida",69195,59450,76106,46333,70253,87169,33187,83114,0,22862,37506,49575
113,10,0500000US12009,"Brevard County, Florida",230043,57305,78841,137134,74025,95625,109907,83991,105962,92909,38963,52245
114,10,0500000US12011,"Broward County, Florida",705472,61502,88786,444716,73848,103847,294922,91638,123682,260756,40108,57997
115,10,0500000US12015,"Charlotte County, Florida",76589,54652,74773,48134,68349,90591,0,73349,0,28455,31723,45846
116,10,0500000US12017,"Citrus County, Florida",64448,50751,65270,42075,61680,77865,0,66577,0,22373,27241,38903
117,10,0500000US12019,"Clay County, Florida",75793,76687,93365,59703,85175,99797,0,94185,0,16090,45043,51494
118,10,0500000US12021,"Collier County, Florida",140578,76025,121643,97279,88736,137780,82668,96907,0,43299,42421,80885
119,10,0500000US12023,"Columbia County, Florida",25240,47094,62768,15851,58953,76985,0,81054,0,9389,27037,34509
120,10,0500000US12031,"Duval County, Florida",368668,58415,79366,221195,69956,92347,147539,86764,112666,147473,40599,56464
